username,isAuthenticated,email,password,role,fullName,age,gender,preferences,currState,pastModelIncreasesGrid,personality
p,0,p@p.p,p,professor,p,10,male,p,"{""characteristics"": {""ability"": 0, ""engagement"": 0}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s1,0,s1@s1,s1,student,s1,7,male,s1,"{""characteristics"": {""ability"": 0.2, ""engagement"": 0.6}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s2,0,s2@s2,s2,student,s2,8,male,s2,"{""characteristics"": {""ability"": 0.6, ""engagement"": 0.5}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s3,0,s3@s3,s3,student,s3,9,male,s3,"{""characteristics"": {""ability"": 0.1, ""engagement"": 0.4}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s4,0,s1@s4,s4,student,s4,10,male,s4,"{""characteristics"": {""ability"": 0.57, ""engagement"": 0.35}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s5,0,s1@s5,s5,student,s5,11,male,s5,"{""characteristics"": {""ability"": 0.12, ""engagement"": 0.56}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s6,0,s1@s6,s6,student,s6,12,male,s6,"{""characteristics"": {""ability"": 0.47, ""engagement"": 0.68}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s7,0,s1@s7,s7,student,s7,13,male,s7,"{""characteristics"": {""ability"": 0.28, ""engagement"": 0.23}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s8,0,s1@s8,s8,student,s8,14,male,s8,"{""characteristics"": {""ability"": 0.64, ""engagement"": 0.59}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
s9,0,s1@s9,s9,student,s9,15,male,s9,"{""characteristics"": {""ability"": 0.59, ""engagement"": 0.64}, ""creationTime"": 1585676034.6797488, ""dist"": -1, ""groupId"": -1, ""profile"": {""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}, ""tailoredTaskId"": -1}","{""cells"": [[]], ""dimSpan"": 1, ""initialCells"": null, ""maxProfilesPerCell"": 30, ""numCells"": 1, ""serializedCells"": []}","{""K_cp"": 0, ""K_ea"": 0, ""K_i"": 0, ""K_mh"": 0}"
